,bus0,bus1,project_status,length,build_year,underground,p_nom,tags,x0,y0,x1,y1
TYNDP2018_25,Tourbe (FR),Chilling (GB),completed,247.2,2021,,1000,,-0.172042,49.083593,-1.277269,50.839338
TYNDP2024_285,Kingsnorth (UK),Warande (FR),in_permitting,158,2030,,1250,,0.596111111,51.41972,2.376776,51.034368
TYNDP2024_16,Gatica (ES),Cubnezais (FR),under_construction,370,2028,,2000,,-2.867,43.367,-0.408943,45.074191
TYNDP2018_21,Piossasco (IT),Grand Ile (FR),completed,190,2023,,1000,,7.468,44.9898,6.045,45.472
TYNDP2022_286,Waterford (IE),Pembroke (UK),under_construction,180,2025,,500,,-6.987,52.26,-4.986,51.686
TYNDP2024_1157,Milan (IT),Viterbo (IT),in_permitting,500,2030,,2000,,9.409,45.553,12.015,42.244
TYNDP2024_1216,Constanta (RO),Albertirsa (HU),under_consideration,930,2030,,2500,,28.588,44.201,19.584,47.224
DC1,Emden Ost,Osterath,in_permitting,297,2027,True,2000,"{url:https://www.netzentwicklungsplan.de/sites/default/files/2024-04/NEP_2037_2045_V2023_Anhang_2E_Aktualisierung_April_2024_%28komprimiert%29.pdf,TYNDP 2022:132,""location0"":""Emden Ost"",""location1"":""Osterath""",7.2492328,53.3655941,6.6207151,51.2690922
DC2,Osterath,Philippsburg,in_permitting,299,2026,False,2000,"{url:https://www.netzentwicklungsplan.de/sites/default/files/2024-04/NEP_2037_2045_V2023_Anhang_2E_Aktualisierung_April_2024_%28komprimiert%29.pdf,TYNDP 2022: 254,""location0"":""Osterath"",""location1"":""Philippsburg""",6.6207151,51.2690922,8.478699,49.283036
DC3,Brunsbüttel,Großgartach,in_permitting,694,2028,True,2000,"{url:https://www.netzentwicklungsplan.de/sites/default/files/2024-04/NEP_2037_2045_V2023_Anhang_2E_Aktualisierung_April_2024_%28komprimiert%29.pdf,TYNDP 2022: 235,""location0"":""Brunsbüttel"",""location1"":""Großgartach""",9.1395423,53.8972549,9.1258701,49.1425406
